//Used two threads, tried to solve same problem, each in a different thread
//and only one completed properly

[Server@619a5dff]: Startup sequence initiated from main() method
[Server@619a5dff]: Could not load properties from file
[Server@619a5dff]: Using cli/default properties only
[Server@619a5dff]: Initiating startup sequence...
[Server@619a5dff]: Server socket opened successfully in 13 ms.
[Server@619a5dff]: Database [index=0, id=0, db=mem:../database/db, alias=database] opened successfully in 494 ms.
[Server@619a5dff]: Startup sequence completed in 565 ms.
[Server@619a5dff]: 2021-08-15 14:36:03.763 HSQLDB server 2.6.0 is online on port 9001
[Server@619a5dff]: To close normally, connect and execute SHUTDOWN SQL
[Server@619a5dff]: From command line, use [Ctrl]+[C] to abort abruptly
addCoefficientSpace:1629038188009,17,HSQLDB Connection @563bf2bb
setCoefficientSpace:1629038188132,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038188232,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038188333,17,HSQLDB Connection @563bf2bb
addLinearObjectiveFunction:1629038188453,17,HSQLDB Connection @563bf2bb
addCoefficientSpace:1629038188553,17,HSQLDB Connection @563bf2bb
setCoefficientSpace:1629038188654,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038188755,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038188856,17,HSQLDB Connection @563bf2bb
addLinearConstraint:1629038188958,17,HSQLDB Connection @563bf2bb
addCoefficientSpace:1629038189059,17,HSQLDB Connection @563bf2bb
setCoefficientSpace:1629038189159,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038189260,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038189360,17,HSQLDB Connection @563bf2bb
addLinearConstraint:1629038189461,17,HSQLDB Connection @563bf2bb
solveModel:1629038189611,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038189770,17,HSQLDB Connection @563bf2bb
getSolutionPointValueAt:1629038189871,17,HSQLDB Connection @563bf2bb
addCoefficientSpace:1629038189897,14,HSQLDB Connection @5945d365
getVariableCount:1629038189971,17,HSQLDB Connection @563bf2bb
setCoefficientSpace:1629038189997,14,HSQLDB Connection @5945d365
getSolutionPointValueAt:1629038190072,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038190098,14,HSQLDB Connection @5945d365
getVariableCount:1629038190172,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038190198,14,HSQLDB Connection @5945d365
getSolutionCost:1629038190273,17,HSQLDB Connection @563bf2bb
addLinearObjectiveFunction:1629038190299,14,HSQLDB Connection @5945d365
printModel:1629038190374,17,HSQLDB Connection @563bf2bb
addCoefficientSpace:1629038190399,14,HSQLDB Connection @5945d365
getSolutionPoint:1629038190476,17,HSQLDB Connection @563bf2bb
setCoefficientSpace:1629038190500,14,HSQLDB Connection @5945d365
getConstraintCount:1629038190585,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038190600,14,HSQLDB Connection @5945d365
getVariableCount:1629038190693,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038190701,14,HSQLDB Connection @5945d365
getLhsByVariable:1629038190793,17,HSQLDB Connection @563bf2bb
addLinearConstraint:1629038190801,14,HSQLDB Connection @5945d365
getVariableCount:1629038190894,17,HSQLDB Connection @563bf2bb
addCoefficientSpace:1629038190902,14,HSQLDB Connection @5945d365
getLhsByVariable:1629038190995,17,HSQLDB Connection @563bf2bb
setCoefficientSpace:1629038191002,14,HSQLDB Connection @5945d365
getVariableCount:1629038191095,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038191103,14,HSQLDB Connection @5945d365
getVariableCount:1629038191196,17,HSQLDB Connection @563bf2bb
addCoefficient:1629038191203,14,HSQLDB Connection @5945d365
getVariableCount:1629038191297,17,HSQLDB Connection @563bf2bb
addLinearConstraint:1629038191304,14,HSQLDB Connection @5945d365
getVariableCount:1629038191397,17,HSQLDB Connection @563bf2bb
solveModel:1629038191404,14,HSQLDB Connection @5945d365
getVariableCount:1629038191497,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038191534,14,HSQLDB Connection @5945d365
getVariableCount:1629038191598,17,HSQLDB Connection @563bf2bb
getSolutionPointValueAt:1629038191635,14,HSQLDB Connection @5945d365
getVariableCount:1629038191698,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038191735,14,HSQLDB Connection @5945d365
getVariableCount:1629038191799,17,HSQLDB Connection @563bf2bb
getSolutionPointValueAt:1629038191836,14,HSQLDB Connection @5945d365
getVariableCount:1629038191904,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038191936,14,HSQLDB Connection @5945d365
getVariableCount:1629038192005,17,HSQLDB Connection @563bf2bb
getSolutionCost:1629038192037,14,HSQLDB Connection @5945d365
getVariableCount:1629038192105,17,HSQLDB Connection @563bf2bb
printModel:1629038192137,14,HSQLDB Connection @5945d365
getVariableCount:1629038192206,17,HSQLDB Connection @563bf2bb
getSolutionPoint:1629038192238,14,HSQLDB Connection @5945d365
getVariableCount:1629038192306,17,HSQLDB Connection @563bf2bb
getConstraintCount:1629038192342,14,HSQLDB Connection @5945d365
getVariableCount:1629038192407,17,HSQLDB Connection @563bf2bb
getLhsByConstraint:1629038192442,14,HSQLDB Connection @5945d365
getVariableCount:1629038192507,17,HSQLDB Connection @563bf2bb
getConstraintCount:1629038192542,14,HSQLDB Connection @5945d365
getVariableCount:1629038192607,17,HSQLDB Connection @563bf2bb
getLhsByConstraint:1629038192643,14,HSQLDB Connection @5945d365
getVariableCount:1629038192708,17,HSQLDB Connection @563bf2bb
getConstraintCount:1629038192743,14,HSQLDB Connection @5945d365
getVariableCount:1629038192808,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038192848,14,HSQLDB Connection @5945d365
getVariableCount:1629038192909,17,HSQLDB Connection @563bf2bb
getLhsByVariable:1629038192948,14,HSQLDB Connection @5945d365
getVariableCount:1629038193009,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038193049,14,HSQLDB Connection @5945d365
getVariableCount:1629038193110,17,HSQLDB Connection @563bf2bb
getLhsByVariable:1629038193149,14,HSQLDB Connection @5945d365
getVariableCount:1629038193210,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038193250,14,HSQLDB Connection @5945d365
getVariableCount:1629038193311,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038193350,14,HSQLDB Connection @5945d365
getVariableCount:1629038193411,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038193450,14,HSQLDB Connection @5945d365
getVariableCount:1629038193511,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038193551,14,HSQLDB Connection @5945d365
getVariableCount:1629038193612,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038193651,14,HSQLDB Connection @5945d365
getVariableCount:1629038193712,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038193751,14,HSQLDB Connection @5945d365
getVariableCount:1629038193813,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038193851,14,HSQLDB Connection @5945d365
getVariableCount:1629038193913,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038193952,14,HSQLDB Connection @5945d365
getVariableCount:1629038194013,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194052,14,HSQLDB Connection @5945d365
getVariableCount:1629038194114,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194152,14,HSQLDB Connection @5945d365
getVariableCount:1629038194214,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194253,14,HSQLDB Connection @5945d365
getVariableCount:1629038194314,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194353,14,HSQLDB Connection @5945d365
getVariableCount:1629038194415,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194453,14,HSQLDB Connection @5945d365
getVariableCount:1629038194515,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194554,14,HSQLDB Connection @5945d365
getVariableCount:1629038194615,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194654,14,HSQLDB Connection @5945d365
getVariableCount:1629038194716,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194754,14,HSQLDB Connection @5945d365
getVariableCount:1629038194816,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194855,14,HSQLDB Connection @5945d365
getVariableCount:1629038194916,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194955,14,HSQLDB Connection @5945d365
getVariableCount:1629038195017,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195055,14,HSQLDB Connection @5945d365
getVariableCount:1629038195117,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195156,14,HSQLDB Connection @5945d365
getVariableCount:1629038195218,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195256,14,HSQLDB Connection @5945d365
getVariableCount:1629038195318,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195357,14,HSQLDB Connection @5945d365
getVariableCount:1629038195419,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195457,14,HSQLDB Connection @5945d365
getVariableCount:1629038195519,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195557,14,HSQLDB Connection @5945d365
getVariableCount:1629038195619,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195657,14,HSQLDB Connection @5945d365
getVariableCount:1629038195720,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195758,14,HSQLDB Connection @5945d365
getVariableCount:1629038195820,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195858,14,HSQLDB Connection @5945d365
getVariableCount:1629038195920,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195958,14,HSQLDB Connection @5945d365
getVariableCount:1629038196021,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196059,14,HSQLDB Connection @5945d365
getVariableCount:1629038196124,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196159,14,HSQLDB Connection @5945d365
getVariableCount:1629038196224,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196260,14,HSQLDB Connection @5945d365
getVariableCount:1629038196324,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196360,14,HSQLDB Connection @5945d365
getVariableCount:1629038196425,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196460,14,HSQLDB Connection @5945d365
getVariableCount:1629038196525,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196561,14,HSQLDB Connection @5945d365
getVariableCount:1629038196626,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196661,14,HSQLDB Connection @5945d365
getVariableCount:1629038196726,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196761,14,HSQLDB Connection @5945d365
getVariableCount:1629038196826,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196862,14,HSQLDB Connection @5945d365
